method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,39,20,390.81264385103714,-4313.142539745606,-4199.562498320461,,5000,1,32670373,ok
DS order-1.5 block Gaussian,20,20,39,21,404.16392288997304,-4266.151176632269,-4197.107643236646,,5000,1,32670374,ok
DS order-1.5 block Gaussian,20,20,39,29,510.95829880295787,-4169.843193155979,-4082.4695991987105,,5000,1,32670382,ok
DS order-1.5 block Gaussian,20,20,39,35,612.6898432059679,-4233.891173334046,-4156.612648559612,,5000,1,32670388,ok
DS order-1.5 block Gaussian,20,20,39,40,701.048682885943,-4149.07281697877,-4105.2252350041035,,5000,1,32670393,ok
DS order-1.5 block Gaussian,20,20,39,48,807.8190896830056,-4109.837888115289,-4057.2129271419226,,5000,1,32670401,ok
DS order-1.5 block Gaussian,20,20,40,0,15.690982781001367,-301704.1677465605,-9904.250003916757,,5000,1,32671350,ok
DS order-1.5 block Gaussian,20,20,40,7,109.16019877698272,-4487.946033298762,-4238.627361302278,,5000,1,32671357,ok
DS order-1.5 block Gaussian,20,20,40,13,210.90454213996418,-4343.84410783854,-4174.792407064809,,5000,1,32671363,ok
DS order-1.5 block Gaussian,20,20,40,20,325.99794620100874,-4316.237845510259,-4158.529103381215,,5000,1,32671370,ok
DS order-1.5 block Gaussian,20,20,40,26,406.0996482640039,-4401.347921623426,-4241.97137534641,,5000,1,32671376,ok
DS order-1.5 block Gaussian,20,20,40,30,545.9780293060467,-4317.287787377623,-4157.75365331569,,5000,1,32671380,ok
DS order-1.5 block Gaussian,20,20,40,35,612.7205647480441,-4160.674535165193,-4119.957859917641,,5000,1,32671385,ok
DS order-1.5 block Gaussian,20,20,40,40,701.0788288220065,-4135.852087024685,-4180.092469606113,,5000,1,32671390,ok
DS order-1.5 block Gaussian,20,20,40,48,807.8535041010473,-4142.345558757679,-4105.574074242344,,5000,1,32671398,ok
DS order-1.5 block Gaussian,20,20,41,0,15.658075489918701,-438950.89039409294,-12627.0835511824,,5000,1,32672347,ok
DS order-1.5 block Gaussian,20,20,41,7,109.05082515394315,-5046.627258900482,-4896.362057711819,,5000,1,32672354,ok
DS order-1.5 block Gaussian,20,20,41,13,210.8167383900145,-4198.514670036093,-4056.351717706312,,5000,1,32672360,ok
DS order-1.5 block Gaussian,20,20,41,20,325.87732068193145,-4481.462940335206,-4249.2773819479235,,5000,1,32672367,ok
DS order-1.5 block Gaussian,20,20,41,26,405.98089125193655,-4186.381965204617,-4004.3175411096418,,5000,1,32672373,ok
DS order-1.5 block Gaussian,20,20,41,32,507.7229901399696,-4222.2590674916155,-3950.1664991423327,,5000,1,32672379,ok
DS order-1.5 block Gaussian,20,20,41,39,601.1648384350119,-4038.209029982366,-3969.311585421137,,5000,1,32672386,ok
