method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,6,60,504.9811057350016,-4223.879642750782,-4098.491840065641,,5000,1,32637512,ok
DS order-1.5 block Gaussian,20,20,6,72,603.5127119820099,-4125.922525933704,-4050.81356500195,,5000,1,32637524,ok
DS order-1.5 block Gaussian,20,20,6,84,702.0147579659824,-4084.4698405718304,-4010.505406784292,,5000,1,32637536,ok
DS order-1.5 block Gaussian,20,20,6,96,800.4940707830247,-4055.5009194541103,-3979.573621940322,,5000,1,32637548,ok
DS order-1.5 block Gaussian,20,20,7,0,10.474220836011227,-6640.085931911626,-6806.638656495074,,5000,1,32638449,ok
DS order-1.5 block Gaussian,20,20,7,11,100.96661925903754,-5171.112425802116,-4923.791186479819,,5000,1,32638460,ok
DS order-1.5 block Gaussian,20,20,7,24,207.4101569330087,-4847.281817390942,-4631.034250761166,,5000,1,32638473,ok
DS order-1.5 block Gaussian,20,20,7,36,305.88997004099656,-4466.790430868667,-4354.032839182555,,5000,1,32638485,ok
DS order-1.5 block Gaussian,20,20,7,48,404.4056369870086,-4239.121998734011,-4110.180483346669,,5000,1,32638497,ok
DS order-1.5 block Gaussian,20,20,7,60,505.6932896950166,-4083.383817395028,-4022.1068756734567,,5000,1,32638509,ok
DS order-1.5 block Gaussian,20,20,7,71,604.7454354049987,-4081.3486417827817,-4027.0436840811685,,5000,1,32638520,ok
DS order-1.5 block Gaussian,20,20,7,83,703.2591059110127,-4016.8319727367507,-3990.718154529891,,5000,1,32638532,ok
DS order-1.5 block Gaussian,20,20,7,95,801.7525989619899,-4006.4849897570443,-3988.079863407424,,5000,1,32638544,ok
DS order-1.5 block Gaussian,20,20,8,0,10.6316237290157,-9112.398041688575,-7985.949952578813,,5000,1,32639446,ok
DS order-1.5 block Gaussian,20,20,8,11,101.12275521602714,-5546.47530463047,-5148.739039996134,,5000,1,32639457,ok
DS order-1.5 block Gaussian,20,20,8,24,207.57395122101298,-4636.062498047426,-4258.359351504661,,5000,1,32639470,ok
DS order-1.5 block Gaussian,20,20,8,36,306.0814309520065,-4057.7250209798062,-4023.4635591379624,,5000,1,32639482,ok
DS order-1.5 block Gaussian,20,20,8,48,404.59971908002626,-4038.8484156866634,-3992.2875690250785,,5000,1,32639494,ok
DS order-1.5 block Gaussian,20,20,8,60,514.380661387986,-4035.799706625647,-3992.269471697875,,5000,1,32639506,ok
DS order-1.5 block Gaussian,20,20,8,71,604.882528513961,-4012.6037681546604,-3942.962673118632,,5000,1,32639517,ok
DS order-1.5 block Gaussian,20,20,8,82,703.8572609190014,-3974.6910334781915,-3958.5373954848533,,5000,1,32639528,ok
DS order-1.5 block Gaussian,20,20,8,94,802.346452895028,-3855.39680076639,-3822.299798323325,,5000,1,32639540,ok
DS order-1.5 block Gaussian,20,20,9,0,10.510999778052792,-15124.129973837276,-5744.661962490745,,5000,1,32640443,ok
DS order-1.5 block Gaussian,20,20,9,11,101.01790382503532,-4304.732152513894,-4151.72832356653,,5000,1,32640454,ok
DS order-1.5 block Gaussian,20,20,9,24,207.4796191310743,-4087.9948728522872,-4027.12514115235,,5000,1,32640467,ok
DS order-1.5 block Gaussian,20,20,9,35,306.520121372072,-4149.010474593429,-4125.386813033611,,5000,1,32640478,ok
DS order-1.5 block Gaussian,20,20,9,46,405.5666559120873,-4134.077956929519,-4024.4707128506984,,5000,1,32640489,ok
DS order-1.5 block Gaussian,20,20,9,57,504.62169885309413,-4047.7755360993406,-4013.8077424803473,,5000,1,32640500,ok
DS order-1.5 block Gaussian,20,20,9,69,603.1093767751008,-4002.341921248875,-3956.4054365017155,,5000,1,32640512,ok
DS order-1.5 block Gaussian,20,20,9,81,704.4780636930373,-3974.644157647443,-3938.0660116570543,,5000,1,32640524,ok
DS order-1.5 block Gaussian,20,20,9,93,802.9793513900368,-3941.7071195312556,-3916.682347413604,,5000,1,32640536,ok
DS order-1.5 block Gaussian,20,20,10,0,10.676283487002365,-49848.026823050546,-9960.729389665148,,5000,1,32641440,ok
DS order-1.5 block Gaussian,20,20,10,11,101.16619558492675,-5372.696776277469,-5096.936710137686,,5000,1,32641451,ok
DS order-1.5 block Gaussian,20,20,10,24,207.58272661594674,-4762.109059660726,-4369.779201523256,,5000,1,32641464,ok
DS order-1.5 block Gaussian,20,20,10,36,306.070794626954,-4295.199539958361,-4163.474852333101,,5000,1,32641476,ok
DS order-1.5 block Gaussian,20,20,10,48,404.55894561402965,-4151.904313573466,-4052.281565029341,,5000,1,32641488,ok
DS order-1.5 block Gaussian,20,20,10,60,505.8354809039738,-4069.4947058688313,-4009.2772502371117,,5000,1,32641500,ok
DS order-1.5 block Gaussian,20,20,10,72,604.3586124499561,-3988.760893289971,-3957.5372967229055,,5000,1,32641512,ok
DS order-1.5 block Gaussian,20,20,10,84,702.842531739967,-3976.394043190787,-3954.201542659705,,5000,1,32641524,ok
DS order-1.5 block Gaussian,20,20,10,96,801.304921176983,-3945.569302581466,-3914.34904405779,,5000,1,32641536,ok
DS order-1.5 block Gaussian,20,20,11,0,10.534346065949649,-5976.106201685628,-5928.792192003791,,5000,1,32642437,ok
DS order-1.5 block Gaussian,20,20,11,11,101.04727090895176,-4746.602471749995,-4626.616001170214,,5000,1,32642448,ok
DS order-1.5 block Gaussian,20,20,11,24,207.4740949899424,-4163.580952400113,-4100.694504498995,,5000,1,32642461,ok
DS order-1.5 block Gaussian,20,20,11,36,305.95597649598494,-4104.948817912499,-4130.769492338634,,5000,1,32642473,ok
