model,effort,n_monitors,rep,logLik,se,gamma,epsilon,rho,m,c,beta_trend,bs1,bs2,bs3,bs4,bs5,bs6,sigma,tau,alpha,delta,S_0,I_0,Y_0,R1_0,R2_0,R3_0,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6
IFAD-0.97,comparable,0,34,-3744.1259731050704,0.10370109337989712,22.86446762084961,15.603535652160645,0.0,0.07314784824848175,1.0,-0.004211849067360163,1.4842075109481812,5.757162094116211,-1.6883662939071655,3.9858171939849854,3.5506749153137207,4.352078437805176,3.1071455478668213,0.2203078269958496,1.0,0.019999993965029716,0.01515702623873949,0.35572296380996704,0.0,0.32893818616867065,0.11325870454311371,0.18692316114902496,-2.4093520641326904,-2.3702638149261475,-3.478865623474121,-4.2921905517578125,-10.062278747558594,-4.202365398406982
IFAD-0.97,comparable,0,35,-3744.321349669673,0.15889859683988922,20.965492248535156,15.052546501159668,0.0,0.06868070363998413,1.0,-0.004367746412754059,1.144852638244629,6.0071563720703125,-2.6716582775115967,4.046031951904297,3.4581310749053955,4.378143310546875,3.0735650062561035,0.2231658399105072,1.0,0.019999993965029716,0.02011292241513729,0.3757493793964386,0.0,0.4326053261756897,0.1394907385110855,0.032041698694229126,-2.574995279312134,-2.062272310256958,-3.7671682834625244,-3.8915059566497803,-10.620722770690918,-3.6330573558807373
IFAD-0.97,comparable,0,36,-3744.2255543573738,0.15496080370391752,21.775190353393555,15.994039535522461,0.0,0.0707298219203949,1.0,-0.004204091150313616,1.2947877645492554,5.904722213745117,-2.2256433963775635,4.012423992156982,3.5031650066375732,4.373040199279785,3.083768606185913,0.22471241652965546,1.0,0.019999993965029716,0.011990384198725224,0.3750820755958557,0.0,0.3978559672832489,0.11847122758626938,0.09660033881664276,-2.4187729358673096,-2.1953651905059814,-3.5470571517944336,-4.1075592041015625,-10.104515075683594,-3.948134660720825
IFAD-0.97,comparable,0,37,-3745.6568129830202,0.1643317148686693,24.441816329956055,16.0854434967041,0.0,0.07583484798669815,1.0,-0.0036353187169879675,1.7422397136688232,5.552819728851318,-0.8284919857978821,3.9573915004730225,3.6054129600524902,4.3583879470825195,3.051314115524292,0.22733551263809204,1.0,0.019999993965029716,0.04235787317156792,0.35680049657821655,0.0,0.15761642158031464,0.43503323197364807,0.008192073553800583,-0.7388556599617004,-3.5238845348358154,-3.034379243850708,-4.774176120758057,-9.330183029174805,-10.480031967163086
IFAD-0.97,comparable,0,38,-3744.6694589414747,0.1284717610453223,20.157726287841797,15.22480297088623,0.0,0.06609934568405151,1.0,-0.004450143314898014,0.9333316087722778,6.1881513595581055,-3.375033140182495,4.086098670959473,3.395502805709839,4.411327838897705,3.0727624893188477,0.2256661355495453,1.0,0.019999993965029716,0.0651419460773468,0.3773249089717865,0.0,0.4006465971469879,0.13975030183792114,0.017136190086603165,-2.54923415184021,-1.986278772354126,-3.891077756881714,-3.747297763824463,-10.636139869689941,-3.478252649307251
IFAD-0.97,comparable,0,39,-3744.7642027005145,0.1321842281279817,20.180665969848633,15.051251411437988,0.0,0.06659714877605438,1.0,-0.004616192076355219,0.9426222443580627,6.169300079345703,-3.3260433673858643,4.092159271240234,3.3832175731658936,4.39654016494751,3.062190532684326,0.22863349318504333,1.0,0.019999993965029716,0.005038698203861713,0.3805496096611023,0.0,0.5262028574943542,0.012085906229913235,0.07612290233373642,-2.7224817276000977,-1.7766473293304443,-4.065736293792725,-3.5244102478027344,-11.45211410522461,-3.176572561264038
IFAD-0.97,comparable,0,40,-3746.9464198810515,0.1354082976949733,20.875925064086914,15.515342712402344,0.0,0.06492157280445099,1.0,-0.004222100600600243,1.0611968040466309,6.056718349456787,-2.7288525104522705,4.044571399688721,3.4040205478668213,4.452509880065918,3.054976463317871,0.22956053912639618,1.0,0.019999993965029716,0.0793694481253624,0.38687509298324585,0.0,0.41175922751426697,0.11054854840040207,0.011447661556303501,-0.7649863362312317,-3.4720845222473145,-3.16300630569458,-4.489767551422119,-8.579693794250488,-8.651464462280273
IFAD-0.97,comparable,0,41,-3745.71016582138,0.17936194607459466,24.830331802368164,16.82377052307129,0.0,0.07527770847082138,1.0,-0.0034198621287941933,1.8055287599563599,5.491929531097412,-0.6397637724876404,3.92079758644104,3.63437819480896,4.382332801818848,3.0609469413757324,0.22264590859413147,1.0,0.019999993965029716,0.04177869111299515,0.36693087220191956,0.0,0.38216114044189453,0.16922558844089508,0.03990372270345688,0.5685292482376099,-4.371709823608398,-2.596248149871826,-5.29579496383667,-7.444242477416992,-16.450510025024414
IFAD-0.97,comparable,0,42,-3744.080936990911,0.12522679441988635,22.720291137695312,15.783626556396484,0.0,0.07331285625696182,1.0,-0.003916263580322266,1.4849028587341309,5.756164073944092,-1.715993881225586,3.986345052719116,3.558927059173584,4.340910911560059,3.076227903366089,0.2223946899175644,1.0,0.019999993965029716,0.012521480210125446,0.3607712686061859,0.0,0.24618975818157196,0.31513547897338867,0.06538200378417969,-2.5272421836853027,-2.291025400161743,-3.579066038131714,-4.167908191680908,-10.31425666809082,-4.001899719238281
IFAD-0.97,comparable,0,43,-3745.9040174357337,0.14279315272639373,19.994056701660156,13.570703506469727,0.0,0.06929846107959747,1.0,-0.004142791964113712,1.0667684078216553,6.050498008728027,-3.187828779220581,4.02921724319458,3.4393789768218994,4.334531307220459,3.0340166091918945,0.22719787061214447,1.0,0.019999993965029716,0.03657501935958862,0.3622247576713562,0.0,0.5174052715301514,0.08026271313428879,0.003532251575961709,-3.679694890975952,-0.9343546032905579,-4.898965358734131,-2.714425563812256,-14.42440414428711,-2.1080284118652344
IFAD-0.97,comparable,0,44,-3744.077752530621,0.2493596507753541,22.234193801879883,15.8787202835083,0.0,0.07187585532665253,1.0,-0.004407727159559727,1.3767244815826416,5.85343599319458,-2.0465056896209717,3.9761404991149902,3.512108087539673,4.363704681396484,3.08109188079834,0.2257063388824463,1.0,0.019999993965029716,0.06743663549423218,0.36944037675857544,0.0,0.5081165432929993,0.021033266559243202,0.033973176032304764,-2.434762477874756,-2.244499921798706,-3.541919231414795,-4.187467575073242,-10.054571151733398,-3.995558500289917
IFAD-0.97,comparable,0,45,-3745.5264144025505,0.2106375586172111,18.935710906982422,14.785326957702637,0.0,0.06291135400533676,1.0,-0.004454351961612701,0.5840255618095398,6.4975152015686035,-4.492514133453369,4.185647964477539,3.2897095680236816,4.459392070770264,3.049241781234741,0.2268277108669281,1.0,0.019999993965029716,0.0049844831228256226,0.3874890208244324,0.0,0.4669269621372223,0.09874500334262848,0.041854582726955414,-2.699389696121216,-1.7550621032714844,-4.30157470703125,-3.301496744155884,-11.64602279663086,-3.0126240253448486
IFAD-0.97,comparable,0,46,-3744.4887080546023,0.09684908266595621,21.24721336364746,14.880594253540039,0.0,0.07004838436841965,1.0,-0.0042753079906105995,1.2012580633163452,5.9679107666015625,-2.6005051136016846,4.018502712249756,3.4627628326416016,4.360291004180908,3.052877426147461,0.22578422725200653,1.0,0.019999993965029716,0.022512272000312805,0.3653791844844818,0.0,0.4595384895801544,0.03804844990372658,0.11452163755893707,-2.807267189025879,-1.8727877140045166,-4.013514518737793,-3.656519889831543,-11.666071891784668,-3.2730610370635986
IFAD-0.97,comparable,0,47,-3744.034215067121,0.12084245235399967,23.38499641418457,15.430425643920898,0.0,0.07435292750597,1.0,-0.00390126695856452,1.5737969875335693,5.700751304626465,-1.4887040853500366,3.966654062271118,3.584307909011841,4.346048831939697,3.1006510257720947,0.22377349436283112,1.0,0.019999993965029716,0.02689022198319435,0.34954988956451416,0.0,0.39246535301208496,0.03378143906593323,0.197313129901886,-2.582350969314575,-2.26609206199646,-3.535741090774536,-4.195523738861084,-10.483570098876953,-3.936830997467041
