method,order,inference_nstep,start,iteration,approx_loglik,gradient_norm
DS-local+nugget QML,2,20,1,12,-5912.298764460675,1514.392898557874
DS-local+nugget QML,2,20,1,13,-5901.319978171523,1502.3442066720932
DS-local+nugget QML,2,20,1,14,-5890.377448494077,1490.5236499458522
DS-local+nugget QML,2,20,1,15,-5879.470381902495,1478.9295828274992
DS-local+nugget QML,2,20,1,16,-5868.59802422685,1467.5597209735554
DS-local+nugget QML,2,20,1,17,-5857.759673230262,1456.4110345835775
DS-local+nugget QML,2,20,1,18,-5846.954691143332,1445.4796253168715
DS-local+nugget QML,2,20,1,19,-5836.182517566907,1434.7605895630652
DS-local+nugget QML,2,20,1,20,-5825.442683011969,1424.2478719184617
DS-local+nugget QML,2,20,1,21,-5814.73482323011,1413.9341146038525
DS-local+nugget QML,2,20,1,22,-5804.058694373578,1403.8105113619206
DS-local+nugget QML,2,20,1,23,-5793.414188893828,1393.866678292732
DS-local+nugget QML,2,20,1,24,-5782.801351919098,1384.0905593336333
DS-local+nugget QML,2,20,1,25,-5772.221211979847,1374.469993692636
DS-local+nugget QML,2,20,2,0,-6030.414630978665,3344.4818098059477
DS-local+nugget QML,2,20,2,1,-6002.969620059266,3282.5414395387093
DS-local+nugget QML,2,20,2,2,-5976.236219689515,3223.628908736069
DS-local+nugget QML,2,20,2,3,-5950.19731609063,3167.6700569725344
DS-local+nugget QML,2,20,2,4,-5924.825563099129,3114.656508215702
DS-local+nugget QML,2,20,2,5,-5900.079911966612,3064.342214645284
DS-local+nugget QML,2,20,2,6,-5875.901018063379,3016.094984455127
DS-local+nugget QML,2,20,2,7,-5852.222672769181,2965.09818900747
DS-local+nugget QML,2,20,2,8,-5828.985223810436,2915.315237714136
DS-local+nugget QML,2,20,2,9,-5806.1371228782755,2865.7620439930147
DS-local+nugget QML,2,20,2,10,-5783.6779251652515,2808.2380846848287
DS-local+nugget QML,2,20,2,11,-5761.634623423567,2746.103813261785
DS-local+nugget QML,2,20,2,12,-5740.073837011555,2675.0756827343566
DS-local+nugget QML,2,20,2,13,-5719.030511470476,2599.789993170976
DS-local+nugget QML,2,20,2,14,-5698.521224019802,2527.113966725627
DS-local+nugget QML,2,20,2,15,-5678.623154530595,2419.5171940046926
DS-local+nugget QML,2,20,2,16,-5659.780089117203,2315.5611473227414
DS-local+nugget QML,2,20,2,17,-5643.146001879261,2237.5536079443186
DS-local+nugget QML,2,20,2,18,-5627.029831238097,2174.663157003148
DS-local+nugget QML,2,20,2,19,-5611.3491681190835,2123.8615209830828
DS-local+nugget QML,2,20,2,20,-5596.03989134213,2082.1895538594463
DS-local+nugget QML,2,20,2,21,-5581.054501223194,2047.2161793844061
DS-local+nugget QML,2,20,2,22,-5566.359118595484,2016.99799735312
DS-local+nugget QML,2,20,2,23,-5551.930592371422,1990.0101274709202
DS-local+nugget QML,2,20,2,24,-5537.770778831309,1956.931350843
DS-local+nugget QML,2,20,2,25,-5523.941118703749,1910.6344838277269
DS-local+nugget QML,2,20,3,0,-55204.66572834604,208994.9426217672
DS-local+nugget QML,2,20,3,1,-53863.62617763567,203177.29686073711
DS-local+nugget QML,2,20,3,2,-52558.50324232403,197522.65338423176
DS-local+nugget QML,2,20,3,3,-51288.280474624255,192026.2718437766
DS-local+nugget QML,2,20,3,4,-50051.97083343403,186683.5627672386
DS-local+nugget QML,2,20,3,5,-48848.61596066035,181490.0814140548
DS-local+nugget QML,2,20,3,6,-47677.28546858169,176441.52192363003
DS-local+nugget QML,2,20,3,7,-46537.07623694496,171533.71175928388
DS-local+nugget QML,2,20,3,8,-45427.11171851552,166762.60644394186
DS-local+nugget QML,2,20,3,9,-44346.54125214908,162124.2845804439
DS-local+nugget QML,2,20,3,10,-43294.57299651981,157615.0629642563
DS-local+nugget QML,2,20,3,11,-42270.39920454875,153231.22831158826
DS-local+nugget QML,2,20,3,12,-41273.21253393411,148969.0933530743
DS-local+nugget QML,2,20,3,13,-40302.25927487588,144825.1850408355
DS-local+nugget QML,2,20,3,14,-39356.80826753864,140796.13239985082
DS-local+nugget QML,2,20,3,15,-38436.17572982386,136879.75865261076
DS-local+nugget QML,2,20,3,16,-37539.766505916356,133072.05118388525
DS-local+nugget QML,2,20,3,17,-36666.92237571705,129369.28819263836
DS-local+nugget QML,2,20,3,18,-35816.99577161959,125768.51907255639
DS-local+nugget QML,2,20,3,19,-34989.40317645069,122268.41906024158
DS-local+nugget QML,2,20,3,20,-34183.66160275874,118877.72977143957
DS-local+nugget QML,2,20,3,21,-33399.4551955041,115598.27792944682
DS-local+nugget QML,2,20,3,22,-32636.28961184238,112408.15232660751
DS-local+nugget QML,2,20,3,23,-31893.607276532603,109304.72087123667
DS-local+nugget QML,2,20,3,24,-31170.853872916145,106285.62791126307
DS-local+nugget QML,2,20,3,25,-30467.481919890888,103348.52327326468
DS-local+nugget QML,2,20,4,0,-7969.280479037897,11937.240010106963
DS-local+nugget QML,2,20,4,1,-7887.133843342394,11327.562617300517
DS-local+nugget QML,2,20,4,2,-7809.348444195403,10744.38419265731
DS-local+nugget QML,2,20,4,3,-7735.741674207808,10188.089610251434
DS-local+nugget QML,2,20,4,4,-7666.1294806947435,9658.713004529023
DS-local+nugget QML,2,20,4,5,-7600.328636800536,9156.008817777794
DS-local+nugget QML,2,20,4,6,-7538.186636487238,8679.516425608857
DS-local+nugget QML,2,20,4,7,-7479.770782766601,8228.964881460492
DS-local+nugget QML,2,20,4,8,-7424.63390110782,7803.734393290388
DS-local+nugget QML,2,20,4,9,-7372.604133322406,7402.883078022673
